-0.271891, -0.303878, 1.83797
-0.267466, -0.313981, 1.87095
-0.25134, -0.320516, 1.85493
-0.245078, -0.332115, 1.84252
-0.243381, -0.352076, 1.90082
-0.233805, -0.356612, 1.89981
-0.236981, -0.383567, 1.96532
-0.230771, -0.386237, 1.95411
-0.21141, -0.391939, 1.91085
-0.211394, -0.41064, 1.95464
-0.21242, -0.42734, 2.01034
-0.199236, -0.430447, 1.97867
-0.197033, -0.446442, 2.00634
-0.194146, -0.466455, 2.02829
-0.192731, -0.480543, 2.0672
-0.18602, -0.491807, 2.04988
-0.189892, -0.512448, 2.09255
-0.183753, -0.529954, 2.14228
-0.181085, -0.532757, 2.11118
-0.175191, -0.541261, 2.10343
-0.187024, -0.611316, 2.2455
-0.18923, -0.629825, 2.27199
-0.191412, -0.648515, 2.29819
-0.188798, -0.645294, 2.2668
-0.189317, -0.652719, 2.27304
-0.187024, -0.655978, 2.2455
-0.198915, -0.677464, 2.31905
-0.200838, -0.695655, 2.34147
-0.205961, -0.699107, 2.33356
-0.204012, -0.718477, 2.37847
-0.20469, -0.712089, 2.31915
-0.222422, -0.758673, 2.45102
-0.217021, -0.732086, 2.32773
-0.233444, -0.76703, 2.43884
-0.234524, -0.782762, 2.45013
-0.224005, -0.747654, 2.34023
-0.222552, -0.729633, 2.26619
-0.256637, -0.82694, 2.54874
-0.26656, -0.811935, 2.46472
-0.272687, -0.818062, 2.46472
-0.264043, -0.786194, 2.38658
-0.280433, -0.811145, 2.42571
-0.295981, -0.874933, 2.61646
-0.278521, -0.794517, 2.35845
-0.333392, -0.952058, 2.76488
-0.356667, -0.98525, 2.84076
-0.37106, -0.993028, 2.8428
-0.384666, -0.991662, 2.8389
-0.384519, -0.962998, 2.73735
-0.392023, -0.954928, 2.69537
-0.415245, -1.01149, 2.85503
-0.429797, -1.00523, 2.85739
-0.416751, -0.943524, 2.682
-0.4579, -1.02757, 2.9004
-0.45686, -1.00091, 2.80546
-0.46635, -0.984518, 2.77888
-0.480327, -1.00623, 2.82039
-0.467462, -0.944869, 2.66697
